text,embedding,filename,type,chunk_id
指导方针草案 航程规划\
  1 目标\
\
  1.1 制定航行或航行计划， 以及对船舶进度的密切和持续监控 和职位，在执行此类计划期间是必不可少的 对海上生命安全、航行安全和效率的重要性 以及保护海洋环境。\
\
  1\,2 航程和航道规划的需要适用 到所有船只。有几个因素可能会阻碍保险箱 所有船只的航行和可能阻碍 大型船舶或运载危险货物的船只的航行。 在准备过程中需要考虑这些因素 的计划以及后续监控执行 计划。\
\
  1.3 航程和航道规划包括评估、 即收集与预期航程相关的所有信息 或通道;整个航程或航程的详细规划 berth to berth，包括那些需要 一名飞行员;执行计划;以及对进展的监控 在实施计划中的船舶。这些组件 的航程/航道规划分析如下。\
\
  2 鉴定\
\
  2.1 与预期相关的所有信息 应考虑航行或航行。以下项目应 在航程和航道规划中考虑：\
\
.1 船只的状况和状态，其 稳定性及其设备;任何作限制;这是允许的 在航道和港口的海上吃水;其纵数据，包括 任何限制;\
\
.2 货物的任何特殊特性（特别是 如果危险），及其在机上的分配、存放和固定 船只;\
\
.3 提供称职且休息良好的 进行航行或航行的船员;\
\
.4 最新证书的要求 有关船舶、其设备、船员、乘客或 货物;\
\
.5 规模适当，准确且最新 用于预期航程或航程的海图，以及任何 给海员和现有无线电的相关永久或临时通知 导航警告;\
\
.6 准确和最新的航行路线， 灯清单和导航无线电辅助设备清单;和\
\
.7 任何相关的最新附加信息， 包括：\
\
.1 海员路线指南和航道规划 由主管当局发布的图表;\
\
.2 洋流和潮汐图集和潮汐表;\
\
.3 气候学、水文学和海洋学 数据以及其他适当的气象信息;\
\
.4 天气路线服务的可用性 （例如世界气象组织 D 卷中包含的 第 9 号出版物）;\
\
.5 现有船舶的航线和报告系统， 船舶交通服务、海洋环境保护措施;\
\
.6 可能遇到的流量 在整个航行或航程中;\
\
.7 如果要使用飞行员，则有关的信息 到引航以及包括交换在内的登船和下船 船长和飞行员之间的信息;\
\
.8 可用端口信息，包括信息 与岸基应急响应安排的可用性有关 和设备;和\
\
.9 与该类型相关的任何其他项目 船舶或其货物，船舶将穿越的特定区域， 以及要进行的航行或航行的类型。,[-1.77607816e-02  4.74772900e-02 -1.58247184e-02 -3.87427285e-02\
 -6.59115240e-02  3.72514501e-02 -2.45141331e-02  1.41961956e-02\
 -2.70192814e-03  2.05785013e-03  1.04542814e-01 -5.56186885e-02\
  3.66765670e-02  1.58475956e-03 -2.56934464e-02  1.16184046e-02\
 -8.94654915e-02  3.97712290e-02 -4.97026369e-02  1.51376091e-02\
 -3.34337391e-02 -4.35862243e-02 -3.97811532e-02 -6.13414077e-03\
 -2.14233436e-02  1.96715761e-02 -3.94263566e-02  9.90834683e-02\
  5.39893880e-02 -6.97403327e-02 -4.71803732e-02  1.01154134e-01\
 -6.44247308e-02 -1.21446885e-02  8.47761258e-02  2.05342248e-02\
  3.47720087e-02 -1.94284171e-02 -2.08186619e-02  3.29859294e-02\
  1.47839980e-02  2.45511234e-02  4.90116514e-02 -3.92190181e-02\
  4.59765233e-02  3.23362723e-02 -1.07280679e-01 -3.64780016e-02\
 -9.15283188e-02 -5.97510263e-02 -4.33563478e-02  2.36770902e-02\
  4.59516421e-02  2.05826405e-02 -3.95604037e-02 -2.12637931e-02\
 -8.34480766e-03  1.96417086e-02 -1.24016097e-02  3.25841177e-03\
 -8.45573917e-02  3.65644991e-02  3.39172897e-03 -1.60812363e-02\
 -1.47570059e-01 -4.81967889e-02 -4.00589518e-02 -2.07982492e-02\
 -1.88278425e-02  3.39393057e-02 -6.03770688e-02 -1.08125964e-02\
  1.07343793e-02 -4.60313894e-02  7.82208424e-03 -2.85278764e-02\
  2.50174645e-02  1.16875127e-03 -3.51314098e-02 -1.55023724e-01\
 -9.03539583e-02  2.39835232e-02  2.19623521e-02 -1.64650697e-02\
 -3.86763178e-02  2.52987612e-02 -7.06163868e-02 -1.86054483e-02\
  4.24999632e-02 -1.10660195e-02  1.03820160e-01  4.66067679e-02\
 -4.45951149e-03 -1.80582590e-02  1.31132277e-02 -1.66949648e-02\
  1.22948214e-02  5.04202768e-02  3.72101227e-03 -4.25888970e-02\
 -1.54009508e-02 -5.51639199e-02 -4.57159802e-02  1.48770828e-02\
 -4.14641388e-02 -1.69213153e-02  4.57405709e-02 -3.72206494e-02\
  6.73368350e-02 -9.70173255e-03 -5.64857572e-02 -6.64833114e-02\
 -1.93293057e-02 -5.76394983e-02 -1.12647712e-01  5.81660494e-02\
 -9.51170772e-02 -8.07758123e-02  8.49516094e-02 -2.21656691e-02\
  6.22538999e-02 -1.13381082e-02 -9.96450521e-03 -2.29552928e-02\
 -9.18845758e-02 -7.34987631e-02  8.79788771e-02 -4.97589606e-34\
 -5.12006246e-02 -1.91991068e-02 -1.28463865e-03 -5.99794313e-02\
  1.05482213e-01 -9.90977213e-02 -3.62375565e-02 -7.96309207e-03\
  3.84523459e-02  3.48204412e-02 -6.48800954e-02 -8.89021344e-03\
 -6.63856342e-02 -1.21054212e-02 -1.89634021e-02 -9.80401412e-02\
 -6.13006651e-02 -3.41816097e-02 -6.50990307e-02 -3.13987657e-02\
  8.92288014e-02 -2.72387043e-02  6.86402172e-02 -6.09827116e-02\
  2.67363265e-02 -2.49632988e-02  2.13513859e-02 -4.24503721e-02\
 -5.92652708e-02  5.04196845e-02 -2.59194765e-02 -3.57789062e-02\
 -5.40788174e-02 -1.13528352e-02 -9.52704623e-02  3.92085034e-03\
  5.18360250e-02  7.27579929e-03 -1.74049698e-02  1.62595045e-02\
 -9.46176797e-02 -2.78796535e-02  5.87251708e-02  4.80480120e-02\
 -2.09086873e-02 -3.91502567e-02  1.88540667e-02  1.86463688e-02\
  7.52404928e-02 -2.28474736e-02 -6.05904795e-02  2.82011796e-02\
  1.03649525e-02 -4.87367213e-02  1.11468639e-02 -1.30631020e-02\
 -2.08330322e-02  3.73981334e-02 -3.72849405e-02  2.11189650e-02\
 -4.76136282e-02 -4.66950750e-03  9.02142283e-03 -1.05580855e-02\
  8.25596228e-02  2.51969155e-02 -1.47965038e-02 -6.53104931e-02\
  3.80176604e-02 -1.18146330e-01 -5.79735599e-02 -1.85847413e-02\
  6.36085421e-02 -2.84683108e-02  2.54465081e-02 -4.78332527e-02\
 -9.22167115e-03  8.57516900e-02  6.44635335e-02 -9.84362736e-02\
 -8.48670155e-02 -2.33643409e-02 -7.68714920e-02 -6.97062444e-03\
 -3.47151910e-03 -5.48366159e-02  1.10486493e-01  6.52079806e-02\
 -4.62507643e-02 -2.72899307e-02 -8.28193426e-02 -1.83232187e-03\
  1.03967093e-01 -1.75260101e-02  7.44654192e-03 -6.71288016e-33\
 -2.71205064e-02  1.05226122e-01 -6.13345183e-04 -5.20742573e-02\
 -1.06399572e-02  1.29948044e-02  7.03462660e-02  3.41189019e-02\
  3.97202261e-02  2.60754228e-02 -6.18340150e-02  5.03910743e-02\
 -4.51642312e-02  6.14915928e-03 -2.97054611e-02 -2.20282562e-02\
  3.01333647e-02  1.10679850e-01 -1.61586963e-02 -3.46089504e-03\
  1.81268062e-02  3.84051874e-02 -1.52216882e-01 -1.97812449e-02\
 -6.12921547e-03  6.03557751e-02  4.07174081e-02 -1.84237454e-02\
 -2.56404839e-02  6.69902489e-02  4.86686360e-03 -4.10105810e-02\
 -3.96981575e-02  8.93249661e-02 -2.77376920e-02 -1.00930884e-01\
  2.90409457e-02  5.85193234e-03 -9.66412947e-02 -7.43112434e-03\
  3.92875075e-02 -5.80234528e-02  7.37001151e-02 -4.20048274e-03\
  1.52276028e-02  4.62281378e-03 -3.71868014e-02 -1.94848180e-02\
 -7.37981349e-02  1.84658505e-02  5.62151102e-03  2.20334399e-02\
  2.02924609e-02 -1.41007453e-02  2.99977604e-02  1.49729736e-02\
 -6.26796409e-02 -1.05472215e-01 -5.55036999e-02 -8.14381689e-02\
  5.06648719e-02  5.41565157e-02  1.75221302e-02  3.81862372e-02\
  8.09484720e-02  4.37776698e-03 -1.35053676e-02 -5.66643551e-02\
  3.76878493e-02 -1.09816603e-01 -1.21499021e-02  2.21618023e-02\
  6.78824261e-02 -3.16086337e-02  9.01996624e-03  1.56479571e-02\
 -1.91213358e-02  5.79382740e-02  1.80513971e-02  2.90336460e-02\
 -3.56424525e-02 -4.12528552e-02  2.11577173e-02  8.30846578e-02\
 -5.19220941e-02 -5.68457022e-02  4.26377654e-02  5.82723022e-02\
  4.70868722e-02 -6.01035058e-02  2.53692456e-02  5.34391515e-02\
 -8.11298564e-03  5.92469312e-02  4.61995900e-02 -4.47540742e-08\
 -4.62497771e-03 -1.09229669e-01 -8.66354480e-02 -4.79130633e-03\
 -4.28004051e-03 -1.04716428e-01 -5.63794114e-02 -3.05532161e-02\
 -7.75161162e-02 -3.51727940e-02  5.60660660e-02  5.59895439e-03\
 -5.47750257e-02 -2.66043413e-02 -5.78584000e-02 -3.80811989e-02\
 -4.63524014e-02  5.41697666e-02 -1.47461155e-02 -1.10310800e-01\
 -7.05186203e-02  1.14046410e-02  3.67011838e-02 -4.98360321e-02\
 -4.90443036e-02  4.64837253e-02 -1.20822236e-01 -5.23850657e-02\
  3.86732444e-02  4.83271889e-02  3.91559489e-02  1.96520668e-02\
  1.03304245e-01  6.74625533e-03  6.52421340e-02 -4.54972759e-02\
